,Predicted_Close
2025-06-18,69796.72
2025-06-19,67910.37
2025-06-20,67910.37
2025-06-21,67910.37
2025-06-22,67910.37
2025-06-23,67910.37
2025-06-24,67910.37
2025-06-25,67910.37
2025-06-26,67910.37
2025-06-27,67910.37
2025-06-28,67910.37
2025-06-29,67910.37
2025-06-30,67910.37
2025-07-01,67910.37
2025-07-02,67658.13
2025-07-03,67658.13
2025-07-04,67658.13
2025-07-05,67658.13
2025-07-06,67658.13
2025-07-07,67658.13
2025-07-08,67658.13
2025-07-09,67658.13
2025-07-10,67658.13
2025-07-11,67658.13
2025-07-12,67658.13
2025-07-13,67658.13
2025-07-14,67658.13
2025-07-15,67658.13
2025-07-16,67658.13
2025-07-17,67658.13
