,Predicted_Close
2025-06-19,68937.8567578125
2025-06-20,68748.0861328125
2025-06-21,68731.278671875
2025-06-22,68731.278671875
2025-06-23,68731.278671875
2025-06-24,68731.278671875
2025-06-25,68731.278671875
2025-06-26,68731.278671875
2025-06-27,68731.278671875
2025-06-28,68731.278671875
2025-06-29,68731.278671875
2025-06-30,68731.278671875
2025-07-01,68731.278671875
2025-07-02,68731.278671875
2025-07-03,68725.7315625
2025-07-04,68725.7315625
2025-07-05,68725.7315625
2025-07-06,68725.7315625
2025-07-07,68725.7315625
2025-07-08,68725.7315625
2025-07-09,68694.782265625
2025-07-10,68694.782265625
2025-07-11,68694.782265625
2025-07-12,68694.782265625
2025-07-13,68694.782265625
2025-07-14,68694.782265625
2025-07-15,68694.782265625
2025-07-16,68694.782265625
2025-07-17,68694.782265625
2025-07-18,68694.782265625
